video_id,title,upload_date,url,class,reason,screening_status,deep_mine
1a362_4Amrg,Which HT Actually Works For Shortwave Listening,20260904,https://www.youtube.com/watch?v=1a362_4Amrg,C,radio/field context term in title,INITIAL,False
up3Sskz6Dns,Why Hams Are Obsessed With This,20260901,https://www.youtube.com/watch?v=up3Sskz6Dns,D,no material RadioLink signal,INITIAL,False
J-YdPKqTQ64,Stop Paying a Subscription :: HelioClock,20260828,https://www.youtube.com/watch?v=J-YdPKqTQ64,D,no material RadioLink signal,INITIAL,False
jmkI2_3ArC4,Huntsville Hamfest Walk Through 2026,20260825,https://www.youtube.com/watch?v=jmkI2_3ArC4,D,no material RadioLink signal,INITIAL,False
pfzpTTuJV3c,"No Shore Power, No Generator, Still Cold Air :: Vlim Air Conditioner",20260821,https://www.youtube.com/watch?v=pfzpTTuJV3c,C,radio/field context term in title,INITIAL,False
xrdD1LOVCoY,Why The Director Ignored The Radio,20260818,https://www.youtube.com/watch?v=xrdD1LOVCoY,C,radio/field context term in title,INITIAL,False
atMrCnjY7uc,Solar 101: The Basics Nobody Teaches You,20260814,https://www.youtube.com/watch?v=atMrCnjY7uc,C,radio/field context term in title,INITIAL,False
cuXzH-yQdto,I Ditched My Wall Charger - Zoupw 110W,20260811,https://www.youtube.com/watch?v=cuXzH-yQdto,C,radio/field context in intro,INITIAL,False
IjV4P07w3-o,Redodo 320Ah Battery,20260809,https://www.youtube.com/watch?v=IjV4P07w3-o,C,radio/field context term in title,INITIAL,False
AJ0XAEiqH2Q,This Solar Node Solved My RV Meshcore Problem - Elecrow M6 Solar Repeater,20260807,https://www.youtube.com/watch?v=AJ0XAEiqH2Q,B,adjacent software/integration term in title,INITIAL,True
